text,intent,period_type,period_text,category_hint,category_text,amount_text,account_text
cobré 150000 de sueldo,ADD_INCOME,NONE,,OTHER,sueldo,150000,
me pagaron el sueldo hoy,ADD_INCOME,TODAY,hoy,OTHER,sueldo,,
cobré mi salario este mes,ADD_INCOME,THIS_MONTH,este mes,OTHER,salario,,
me entraron 200000 pesos,ADD_INCOME,NONE,,NONE,,200000,
recibí 50000,ADD_INCOME,NONE,,NONE,,50000,
cobré 30000 por un trabajo,ADD_INCOME,NONE,,OTHER,trabajo,30000,
me pagaron 80000 ayer,ADD_INCOME,YESTERDAY,ayer,NONE,,80000,
cobré 120000 el mes pasado,ADD_INCOME,LAST_MONTH,el mes pasado,NONE,,120000,
me entraron 45000 en enero,ADD_INCOME,MONTH_NAME,enero,NONE,,45000,
cobré 60000 en febrero,ADD_INCOME,MONTH_NAME,febrero,NONE,,60000,
recibí 25000 por una venta,ADD_INCOME,NONE,,OTHER,venta,25000,
me pagaron 90000 por un servicio,ADD_INCOME,NONE,,SERVICES,servicio,90000,
cobré 70000 hoy por un trabajo,ADD_INCOME,TODAY,hoy,OTHER,trabajo,70000,
recibí 100000 de honorarios,ADD_INCOME,NONE,,SERVICES,honorarios,100000,
me entraron 30000 de propina,ADD_INCOME,NONE,,OTHER,propina,30000,
cobré 20000 de reintegro,ADD_INCOME,NONE,,OTHER,reintegro,20000,
recibí 15000 de devolución,ADD_INCOME,NONE,,OTHER,devolución,15000,
me pagaron 180000 este mes,ADD_INCOME,THIS_MONTH,este mes,NONE,,180000,
cobré 95000 la semana pasada,ADD_INCOME,LAST_N_DAYS,la semana pasada,NONE,,95000,
recibí 40000 ayer por una venta,ADD_INCOME,YESTERDAY,ayer,OTHER,venta,40000,
me entraron 220000 de sueldo este mes,ADD_INCOME,THIS_MONTH,este mes,OTHER,sueldo,220000,
cobré 110000 de salario el mes pasado,ADD_INCOME,LAST_MONTH,el mes pasado,OTHER,salario,110000,
recibí 5000 de interés,ADD_INCOME,NONE,,OTHER,interés,5000,
me pagaron 32000 por freelance,ADD_INCOME,NONE,,OTHER,freelance,32000,
cobré 27000 por un proyecto,ADD_INCOME,NONE,,OTHER,proyecto,27000,
me entraron 75000 de comisión,ADD_INCOME,NONE,,OTHER,comisión,75000,
cobré 9000 de reembolso,ADD_INCOME,NONE,,OTHER,reembolso,9000,
recibí 140000 este mes,ADD_INCOME,THIS_MONTH,este mes,NONE,,140000,
me pagaron 60000 hoy,ADD_INCOME,TODAY,hoy,NONE,,60000,
cobré 200000 en total este mes,ADD_INCOME,THIS_MONTH,este mes,NONE,,200000,
recibí 35000 ayer,ADD_INCOME,YESTERDAY,ayer,NONE,,35000,
me entraron 50000 por servicios,ADD_INCOME,NONE,,SERVICES,servicios,50000,
cobré 80000 por consultoría,ADD_INCOME,NONE,,SERVICES,consultoría,80000,
recibí 10000 de devolución hoy,ADD_INCOME,TODAY,hoy,OTHER,devolución,10000,
me pagaron 12000 de reintegro ayer,ADD_INCOME,YESTERDAY,ayer,OTHER,reintegro,12000,
cobré 65000 de sueldo ayer,ADD_INCOME,YESTERDAY,ayer,OTHER,sueldo,65000,
recibí 300000 este mes,ADD_INCOME,THIS_MONTH,este mes,NONE,,300000,
me entraron 47000 por una venta ayer,ADD_INCOME,YESTERDAY,ayer,OTHER,venta,47000,
cobré 52000 la semana pasada,ADD_INCOME,LAST_N_DAYS,la semana pasada,NONE,,52000,
recibí 88000 en enero,ADD_INCOME,MONTH_NAME,enero,NONE,,88000,
me pagaron 91000 en febrero,ADD_INCOME,MONTH_NAME,febrero,NONE,,91000,
cobré 43000 por trabajo extra,ADD_INCOME,NONE,,OTHER,trabajo extra,43000,
