text,intent,period_type,period_text,category_hint,category_text,amount_text,account_text
qué puedo hacer,HELP,NONE,,NONE,,,
cómo funciona esto,HELP,NONE,,NONE,,,
ayuda,HELP,NONE,,NONE,,,
necesito ayuda,HELP,NONE,,NONE,,,
qué opciones tengo,HELP,NONE,,NONE,,,
qué puedo consultar,HELP,NONE,,NONE,,,
cómo uso el sistema,HELP,NONE,,NONE,,,
qué puedo preguntar,HELP,NONE,,NONE,,,
ayudame,HELP,NONE,,NONE,,,
qué cosas puedo hacer acá,HELP,NONE,,NONE,,,
mostrame la ayuda,HELP,NONE,,NONE,,,
quiero saber cómo funciona,HELP,NONE,,NONE,,,
qué comandos hay,HELP,NONE,,NONE,,,
qué puedo hacer con el bot,HELP,NONE,,NONE,,,
cómo empiezo,HELP,NONE,,NONE,,,
cómo se usa,HELP,NONE,,NONE,,,
qué funcionalidades hay,HELP,NONE,,NONE,,,
explicame cómo funciona,HELP,NONE,,NONE,,,
qué consultas puedo hacer,HELP,NONE,,NONE,,,
mostrame las opciones,HELP,NONE,,NONE,,,
