text,intent,period_type,period_text,category_hint,category_text,amount_text,account_text
mostrame mis cuentas,SHOW_ACCOUNTS,NONE,,NONE,,,
qué cuentas tengo,SHOW_ACCOUNTS,NONE,,NONE,,,
listá mis cuentas,SHOW_ACCOUNTS,NONE,,NONE,,,
cuáles son mis cuentas,SHOW_ACCOUNTS,NONE,,NONE,,,
ver mis cuentas,SHOW_ACCOUNTS,NONE,,NONE,,,
mostrame las cuentas que tengo,SHOW_ACCOUNTS,NONE,,NONE,,,
qué cuentas tengo registradas,SHOW_ACCOUNTS,NONE,,NONE,,,
listado de cuentas,SHOW_ACCOUNTS,NONE,,NONE,,,
quiero ver mis cuentas,SHOW_ACCOUNTS,NONE,,NONE,,,
mostrame todas mis cuentas,SHOW_ACCOUNTS,NONE,,NONE,,,
cuentas disponibles,SHOW_ACCOUNTS,NONE,,NONE,,,
cuáles son todas mis cuentas,SHOW_ACCOUNTS,NONE,,NONE,,,
qué cuentas hay,SHOW_ACCOUNTS,NONE,,NONE,,,
mostrame las cuentas activas,SHOW_ACCOUNTS,NONE,,NONE,,,
qué cuentas activas tengo,SHOW_ACCOUNTS,NONE,,NONE,,,
ver cuentas activas,SHOW_ACCOUNTS,NONE,,NONE,,,
listá las cuentas activas,SHOW_ACCOUNTS,NONE,,NONE,,,
mostrame mis cuentas activas,SHOW_ACCOUNTS,NONE,,NONE,,,
qué cuentas tengo habilitadas,SHOW_ACCOUNTS,NONE,,NONE,,,
ver cuentas habilitadas,SHOW_ACCOUNTS,NONE,,NONE,,,
mostrame las cuentas desactivadas,SHOW_ACCOUNTS,NONE,,NONE,,,
qué cuentas desactivadas tengo,SHOW_ACCOUNTS,NONE,,NONE,,,
listá las cuentas desactivadas,SHOW_ACCOUNTS,NONE,,NONE,,,
ver cuentas desactivadas,SHOW_ACCOUNTS,NONE,,NONE,,,
mostrame mis cuentas bancarias,SHOW_ACCOUNTS,NONE,,NONE,,,
qué cuentas bancarias tengo,SHOW_ACCOUNTS,NONE,,NONE,,,
listá cuentas bancarias,SHOW_ACCOUNTS,NONE,,NONE,,,
ver mis cuentas bancarias,SHOW_ACCOUNTS,NONE,,NONE,,,
mostrame mis cuentas en efectivo,SHOW_ACCOUNTS,NONE,,NONE,,,
qué cuentas de efectivo tengo,SHOW_ACCOUNTS,NONE,,NONE,,,
listá cuentas de efectivo,SHOW_ACCOUNTS,NONE,,NONE,,,
ver cuentas de efectivo,SHOW_ACCOUNTS,NONE,,NONE,,,
mostrame mis cuentas digitales,SHOW_ACCOUNTS,NONE,,NONE,,,
qué cuentas digitales tengo,SHOW_ACCOUNTS,NONE,,NONE,,,
listá cuentas digitales,SHOW_ACCOUNTS,NONE,,NONE,,,
ver cuentas digitales,SHOW_ACCOUNTS,NONE,,NONE,,,
mostrame mis cuentas de billetera,SHOW_ACCOUNTS,NONE,,NONE,,,
qué billeteras tengo,SHOW_ACCOUNTS,NONE,,NONE,,,
listá mis billeteras,SHOW_ACCOUNTS,NONE,,NONE,,,
ver billeteras,SHOW_ACCOUNTS,NONE,,NONE,,,
mostrame mis cuentas registradas,SHOW_ACCOUNTS,NONE,,NONE,,,
qué cuentas tengo creadas,SHOW_ACCOUNTS,NONE,,NONE,,,
listado de todas mis cuentas,SHOW_ACCOUNTS,NONE,,NONE,,,
ver todas las cuentas,SHOW_ACCOUNTS,NONE,,NONE,,,
mostrame el listado de cuentas,SHOW_ACCOUNTS,NONE,,NONE,,,
qué cuentas existen,SHOW_ACCOUNTS,NONE,,NONE,,,
mostrame cuentas,SHOW_ACCOUNTS,NONE,,NONE,,,
ver listado de cuentas,SHOW_ACCOUNTS,NONE,,NONE,,,
cuentas que tengo,SHOW_ACCOUNTS,NONE,,NONE,,,
mis cuentas,SHOW_ACCOUNTS,NONE,,NONE,,,
