text,intent,period_type,period_text,category_hint,category_text,amount_text,account_text
mostrame las categorías,SHOW_CATEGORIES,NONE,,NONE,,,
qué categorías tengo,SHOW_CATEGORIES,NONE,,NONE,,,
listá mis categorías,SHOW_CATEGORIES,NONE,,NONE,,,
cuáles son mis categorías,SHOW_CATEGORIES,NONE,,NONE,,,
ver mis categorías,SHOW_CATEGORIES,NONE,,NONE,,,
mostrame las categorías que tengo,SHOW_CATEGORIES,NONE,,NONE,,,
qué categorías hay,SHOW_CATEGORIES,NONE,,NONE,,,
listado de categorías,SHOW_CATEGORIES,NONE,,NONE,,,
quiero ver mis categorías,SHOW_CATEGORIES,NONE,,NONE,,,
mostrame todas las categorías,SHOW_CATEGORIES,NONE,,NONE,,,
categorías disponibles,SHOW_CATEGORIES,NONE,,NONE,,,
cuáles son todas las categorías,SHOW_CATEGORIES,NONE,,NONE,,,
qué categorías existen,SHOW_CATEGORIES,NONE,,NONE,,,
mostrame las categorías activas,SHOW_CATEGORIES,NONE,,NONE,,,
qué categorías activas tengo,SHOW_CATEGORIES,NONE,,NONE,,,
ver categorías activas,SHOW_CATEGORIES,NONE,,NONE,,,
listá las categorías activas,SHOW_CATEGORIES,NONE,,NONE,,,
mostrame mis categorías activas,SHOW_CATEGORIES,NONE,,NONE,,,
qué categorías tengo habilitadas,SHOW_CATEGORIES,NONE,,NONE,,,
ver categorías habilitadas,SHOW_CATEGORIES,NONE,,NONE,,,
mostrame las categorías desactivadas,SHOW_CATEGORIES,NONE,,NONE,,,
qué categorías desactivadas tengo,SHOW_CATEGORIES,NONE,,NONE,,,
listá las categorías desactivadas,SHOW_CATEGORIES,NONE,,NONE,,,
ver categorías desactivadas,SHOW_CATEGORIES,NONE,,NONE,,,
mostrame las categorías de gastos,SHOW_CATEGORIES,NONE,,NONE,,,
qué categorías de gastos tengo,SHOW_CATEGORIES,NONE,,NONE,,,
listá categorías de gastos,SHOW_CATEGORIES,NONE,,NONE,,,
ver categorías de gastos,SHOW_CATEGORIES,NONE,,NONE,,,
mostrame las categorías de ingresos,SHOW_CATEGORIES,NONE,,NONE,,,
qué categorías de ingresos tengo,SHOW_CATEGORIES,NONE,,NONE,,,
listá categorías de ingresos,SHOW_CATEGORIES,NONE,,NONE,,,
ver categorías de ingresos,SHOW_CATEGORIES,NONE,,NONE,,,
mostrame mis categorías registradas,SHOW_CATEGORIES,NONE,,NONE,,,
qué categorías tengo creadas,SHOW_CATEGORIES,NONE,,NONE,,,
listado de todas mis categorías,SHOW_CATEGORIES,NONE,,NONE,,,
ver todas las categorías,SHOW_CATEGORIES,NONE,,NONE,,,
mostrame el listado de categorías,SHOW_CATEGORIES,NONE,,NONE,,,
qué categorías hay disponibles,SHOW_CATEGORIES,NONE,,NONE,,,
mostrame categorías,SHOW_CATEGORIES,NONE,,NONE,,,
ver listado de categorías,SHOW_CATEGORIES,NONE,,NONE,,,
categorías que tengo,SHOW_CATEGORIES,NONE,,NONE,,,
mis categorías,SHOW_CATEGORIES,NONE,,NONE,,,
qué tipos de categorías hay,SHOW_CATEGORIES,NONE,,NONE,,,
mostrame los tipos de categorías,SHOW_CATEGORIES,NONE,,NONE,,,
qué categorías puedo usar,SHOW_CATEGORIES,NONE,,NONE,,,
mostrame las categorías que puedo usar,SHOW_CATEGORIES,NONE,,NONE,,,
ver categorías disponibles,SHOW_CATEGORIES,NONE,,NONE,,,
listá todas las categorías disponibles,SHOW_CATEGORIES,NONE,,NONE,,,
