text,intent,period_type,period_text,category_hint,category_text,amount_text,account_text
mostrame mis tarjetas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
qué tarjetas tengo,SHOW_CREDIT_CARDS,NONE,,NONE,,,
listá mis tarjetas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
cuáles son mis tarjetas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
ver mis tarjetas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
mostrame las tarjetas que tengo,SHOW_CREDIT_CARDS,NONE,,NONE,,,
qué tarjetas hay,SHOW_CREDIT_CARDS,NONE,,NONE,,,
listado de tarjetas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
quiero ver mis tarjetas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
mostrame todas mis tarjetas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
tarjetas disponibles,SHOW_CREDIT_CARDS,NONE,,NONE,,,
cuáles son todas mis tarjetas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
qué tarjetas existen,SHOW_CREDIT_CARDS,NONE,,NONE,,,
mostrame las tarjetas activas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
qué tarjetas activas tengo,SHOW_CREDIT_CARDS,NONE,,NONE,,,
ver tarjetas activas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
listá las tarjetas activas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
mostrame mis tarjetas activas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
qué tarjetas tengo habilitadas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
ver tarjetas habilitadas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
mostrame las tarjetas desactivadas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
qué tarjetas desactivadas tengo,SHOW_CREDIT_CARDS,NONE,,NONE,,,
listá las tarjetas desactivadas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
ver tarjetas desactivadas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
mostrame mis tarjetas de crédito,SHOW_CREDIT_CARDS,NONE,,NONE,,,
qué tarjetas de crédito tengo,SHOW_CREDIT_CARDS,NONE,,NONE,,,
listá tarjetas de crédito,SHOW_CREDIT_CARDS,NONE,,NONE,,,
ver mis tarjetas de crédito,SHOW_CREDIT_CARDS,NONE,,NONE,,,
mostrame mis tarjetas bancarias,SHOW_CREDIT_CARDS,NONE,,NONE,,,
qué tarjetas bancarias tengo,SHOW_CREDIT_CARDS,NONE,,NONE,,,
listá tarjetas bancarias,SHOW_CREDIT_CARDS,NONE,,NONE,,,
ver tarjetas bancarias,SHOW_CREDIT_CARDS,NONE,,NONE,,,
mostrame mis tarjetas registradas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
qué tarjetas tengo creadas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
listado de todas mis tarjetas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
ver todas las tarjetas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
mostrame el listado de tarjetas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
qué tarjetas hay disponibles,SHOW_CREDIT_CARDS,NONE,,NONE,,,
mostrame tarjetas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
ver listado de tarjetas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
tarjetas que tengo,SHOW_CREDIT_CARDS,NONE,,NONE,,,
mis tarjetas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
qué tarjetas puedo usar,SHOW_CREDIT_CARDS,NONE,,NONE,,,
mostrame las tarjetas que puedo usar,SHOW_CREDIT_CARDS,NONE,,NONE,,,
ver tarjetas disponibles,SHOW_CREDIT_CARDS,NONE,,NONE,,,
listá todas las tarjetas disponibles,SHOW_CREDIT_CARDS,NONE,,NONE,,,
mostrame mis tarjetas guardadas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
qué tarjetas tengo guardadas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
ver tarjetas guardadas,SHOW_CREDIT_CARDS,NONE,,NONE,,,
