text,intent,period_type,period_text,category_hint,category_text,amount_text,account_text
mostrame mis movimientos,SHOW_MOVEMENTS,NONE,,NONE,,,
mostrame mis gastos,SHOW_MOVEMENTS,NONE,,NONE,,,
quiero ver mis movimientos,SHOW_MOVEMENTS,NONE,,NONE,,,
mostrame los movimientos de este mes,SHOW_MOVEMENTS,THIS_MONTH,este mes,NONE,,,
qué movimientos tuve este mes,SHOW_MOVEMENTS,THIS_MONTH,este mes,NONE,,,
mostrame mis gastos de este mes,SHOW_MOVEMENTS,THIS_MONTH,este mes,NONE,,,
qué gastos tuve hoy,SHOW_MOVEMENTS,TODAY,hoy,NONE,,,
mostrame los gastos de hoy,SHOW_MOVEMENTS,TODAY,hoy,NONE,,,
qué gasté ayer,SHOW_MOVEMENTS,YESTERDAY,ayer,NONE,,,
mostrame los movimientos de ayer,SHOW_MOVEMENTS,YESTERDAY,ayer,NONE,,,
qué gastos tuve la semana pasada,SHOW_MOVEMENTS,LAST_N_DAYS,la semana pasada,NONE,,,
mostrame mis movimientos de la semana pasada,SHOW_MOVEMENTS,LAST_N_DAYS,la semana pasada,NONE,,,
qué movimientos tuve el mes pasado,SHOW_MOVEMENTS,LAST_MONTH,el mes pasado,NONE,,,
mostrame los gastos del mes pasado,SHOW_MOVEMENTS,LAST_MONTH,el mes pasado,NONE,,,
qué gasté en enero,SHOW_MOVEMENTS,MONTH_NAME,enero,NONE,,,
mostrame mis movimientos de febrero,SHOW_MOVEMENTS,MONTH_NAME,febrero,NONE,,,
qué gastos hice en supermercado,SHOW_MOVEMENTS,NONE,,SUPERMARKET,supermercado,,
mostrame mis gastos de supermercado,SHOW_MOVEMENTS,NONE,,SUPERMARKET,supermercado,,
qué gasté en supermercado este mes,SHOW_MOVEMENTS,THIS_MONTH,este mes,SUPERMARKET,supermercado,,
mostrame gastos de supermercado del mes pasado,SHOW_MOVEMENTS,LAST_MONTH,el mes pasado,SUPERMARKET,supermercado,,
qué gastos tuve en comida,SHOW_MOVEMENTS,NONE,,FOOD,comida,,
mostrame gastos de comida,SHOW_MOVEMENTS,NONE,,FOOD,comida,,
qué gasté en comida hoy,SHOW_MOVEMENTS,TODAY,hoy,FOOD,comida,,
qué gastos tuve en transporte,SHOW_MOVEMENTS,NONE,,TRANSPORT,transporte,,
mostrame gastos de transporte este mes,SHOW_MOVEMENTS,THIS_MONTH,este mes,TRANSPORT,transporte,,
qué gasté en alquiler,SHOW_MOVEMENTS,NONE,,RENT,alquiler,,
mostrame los gastos de alquiler,SHOW_MOVEMENTS,NONE,,RENT,alquiler,,
qué gasté en alquiler el mes pasado,SHOW_MOVEMENTS,LAST_MONTH,el mes pasado,RENT,alquiler,,
mostrame mis gastos en servicios,SHOW_MOVEMENTS,NONE,,SERVICES,servicios,,
qué gastos tuve en servicios este mes,SHOW_MOVEMENTS,THIS_MONTH,este mes,SERVICES,servicios,,
qué movimientos hice en salud,SHOW_MOVEMENTS,NONE,,HEALTH,salud,,
mostrame gastos de salud este mes,SHOW_MOVEMENTS,THIS_MONTH,este mes,HEALTH,salud,,
qué gasté en entretenimiento,SHOW_MOVEMENTS,NONE,,ENTERTAINMENT,entretenimiento,,
mostrame mis gastos en entretenimiento,SHOW_MOVEMENTS,NONE,,ENTERTAINMENT,entretenimiento,,
qué gastos tuve en entretenimiento el mes pasado,SHOW_MOVEMENTS,LAST_MONTH,el mes pasado,ENTERTAINMENT,entretenimiento,,
qué movimientos tuve del 1 al 10,SHOW_MOVEMENTS,DATE_RANGE,del 1 al 10,NONE,,,
mostrame gastos del 5 al 20,SHOW_MOVEMENTS,DATE_RANGE,del 5 al 20,NONE,,,
qué gasté del 10 al 15 de este mes,SHOW_MOVEMENTS,DATE_RANGE,del 10 al 15,NONE,,,
mostrame mis movimientos del 1 al 31,SHOW_MOVEMENTS,DATE_RANGE,del 1 al 31,NONE,,,
qué movimientos tuve en enero en supermercado,SHOW_MOVEMENTS,MONTH_NAME,enero,SUPERMARKET,supermercado,,
mostrame gastos de febrero en comida,SHOW_MOVEMENTS,MONTH_NAME,febrero,FOOD,comida,,
qué gasté ayer en transporte,SHOW_MOVEMENTS,YESTERDAY,ayer,TRANSPORT,transporte,,
mostrame gastos de hoy en supermercado,SHOW_MOVEMENTS,TODAY,hoy,SUPERMARKET,supermercado,,
qué movimientos tuve este mes en servicios,SHOW_MOVEMENTS,THIS_MONTH,este mes,SERVICES,servicios,,
mostrame mis gastos del mes pasado en salud,SHOW_MOVEMENTS,LAST_MONTH,el mes pasado,HEALTH,salud,,
qué gastos hice en comida la semana pasada,SHOW_MOVEMENTS,LAST_N_DAYS,la semana pasada,FOOD,comida,,
mostrame movimientos de la semana pasada en transporte,SHOW_MOVEMENTS,LAST_N_DAYS,la semana pasada,TRANSPORT,transporte,,
qué movimientos tengo en alquiler este mes,SHOW_MOVEMENTS,THIS_MONTH,este mes,RENT,alquiler,,
mostrame gastos de alquiler este mes,SHOW_MOVEMENTS,THIS_MONTH,este mes,RENT,alquiler,,
qué gasté en entretenimiento hoy,SHOW_MOVEMENTS,TODAY,hoy,ENTERTAINMENT,entretenimiento,,
mostrame gastos de entretenimiento ayer,SHOW_MOVEMENTS,YESTERDAY,ayer,ENTERTAINMENT,entretenimiento,,
qué gastos hice en servicios ayer,SHOW_MOVEMENTS,YESTERDAY,ayer,SERVICES,servicios,,
mostrame mis gastos de servicios hoy,SHOW_MOVEMENTS,TODAY,hoy,SERVICES,servicios,,
qué movimientos tuve en comida este mes,SHOW_MOVEMENTS,THIS_MONTH,este mes,FOOD,comida,,
mostrame gastos en supermercado la semana pasada,SHOW_MOVEMENTS,LAST_N_DAYS,la semana pasada,SUPERMARKET,supermercado,,
qué gastos tuve en farmacia,SHOW_MOVEMENTS,NONE,,HEALTH,farmacia,,
mostrame gastos de farmacia este mes,SHOW_MOVEMENTS,THIS_MONTH,este mes,HEALTH,farmacia,,
qué movimientos hice en restaurante,SHOW_MOVEMENTS,NONE,,FOOD,restaurante,,
mostrame gastos en restaurante ayer,SHOW_MOVEMENTS,YESTERDAY,ayer,FOOD,restaurante,,
qué movimientos tuve en taxi,SHOW_MOVEMENTS,NONE,,TRANSPORT,taxi,,
mostrame gastos en taxi hoy,SHOW_MOVEMENTS,TODAY,hoy,TRANSPORT,taxi,,
qué gastos hice en colectivo,SHOW_MOVEMENTS,NONE,,TRANSPORT,colectivo,,
mostrame movimientos de colectivo este mes,SHOW_MOVEMENTS,THIS_MONTH,este mes,TRANSPORT,colectivo,,
qué movimientos tuve en kiosco,SHOW_MOVEMENTS,NONE,,OTHER,kiosco,,
mostrame gastos de kiosco hoy,SHOW_MOVEMENTS,TODAY,hoy,OTHER,kiosco,,
qué gastos tuve en ropa,SHOW_MOVEMENTS,NONE,,OTHER,ropa,,
mostrame movimientos de ropa este mes,SHOW_MOVEMENTS,THIS_MONTH,este mes,OTHER,ropa,,
qué movimientos hice en streaming,SHOW_MOVEMENTS,NONE,,ENTERTAINMENT,streaming,,
mostrame gastos de streaming este mes,SHOW_MOVEMENTS,THIS_MONTH,este mes,ENTERTAINMENT,streaming,,
qué movimientos tuve en gimnasio,SHOW_MOVEMENTS,NONE,,HEALTH,gimnasio,,
mostrame gastos de gimnasio este mes,SHOW_MOVEMENTS,THIS_MONTH,este mes,HEALTH,gimnasio,,
qué gastos tuve en supermercado ayer,SHOW_MOVEMENTS,YESTERDAY,ayer,SUPERMARKET,supermercado,,
mostrame movimientos de supermercado hoy,SHOW_MOVEMENTS,TODAY,hoy,SUPERMARKET,supermercado,,
qué movimientos tuve en comida ayer,SHOW_MOVEMENTS,YESTERDAY,ayer,FOOD,comida,,
mostrame gastos de comida hoy,SHOW_MOVEMENTS,TODAY,hoy,FOOD,comida,,
