text,intent,period_type,period_text,category_hint,category_text,amount_text,account_text
hola,SMALLTALK,NONE,,NONE,,,
buenas,SMALLTALK,NONE,,NONE,,,
buen día,SMALLTALK,NONE,,NONE,,,
buenas tardes,SMALLTALK,NONE,,NONE,,,
buenas noches,SMALLTALK,NONE,,NONE,,,
cómo estás,SMALLTALK,NONE,,NONE,,,
todo bien?,SMALLTALK,NONE,,NONE,,,
gracias,SMALLTALK,NONE,,NONE,,,
muchas gracias,SMALLTALK,NONE,,NONE,,,
ok,SMALLTALK,NONE,,NONE,,,
dale,SMALLTALK,NONE,,NONE,,,
genial,SMALLTALK,NONE,,NONE,,,
perfecto,SMALLTALK,NONE,,NONE,,,
listo,SMALLTALK,NONE,,NONE,,,
joya,SMALLTALK,NONE,,NONE,,,
bárbaro,SMALLTALK,NONE,,NONE,,,
todo ok,SMALLTALK,NONE,,NONE,,,
hola todo bien,SMALLTALK,NONE,,NONE,,,
gracias por la ayuda,SMALLTALK,NONE,,NONE,,,
buenísimo,SMALLTALK,NONE,,NONE,,,
